Ay,Ax,B,ux_fea3d,uy_fea3d,phi_fea3d,t_fea3d,ux_fea2d,uy_fea2d,phi_fea2d,t_fea2d,ux_euler,uy_euler,phi_euler,t_euler,ux_guided,uy_guided,phi_guided,t_guided,ux_prb,uy_prb,phi_prb,t_prb,ux_prb_opt,uy_prb_opt,phi_prb_opt,t_prb_opt,ux_bcm,uy_bcm,phi_bcm,t_bcm,ux_linear,uy_linear,phi_linear,t_linear
1.0,-10.0,3.0,-0.0040224399999999995,0.07923000000000001,0.0009637014498015182,52.753034830093384,-0.00418916,0.0805956,0.0017232159966930319,0.8202698230743408,-0.00434132454534808,0.08434056039671617,0.0002692030590074752,1.752578400002676,-0.004204968340795645,0.08307443973979682,0.0,0.003363099996931851,-0.0006727891652913042,0.03384636492884049,0.0,7.20999960321933e-05,-0.0009092565429494438,0.040445457468646334,0.0,6.920000305399299e-05,-0.0043829365079365076,0.08333333333333333,0.0009411743092298647,3.4999975468963385e-06,0.0,0.041666666666666664,0.0,2.9998773243278265e-07
2.0,-10.0,-3.0,-0.01509928,0.15542920000000002,0.0020511703237262504,58.69466423988342,-0.014063639999999999,0.1497484,-0.0017679279555443475,0.9016392230987549,nan,nan,nan,15.00499879999552,-0.016055739270568692,0.16176393258198649,0.0,0.004101500002434477,-0.0026774419031537788,0.06748026261572597,0.0,7.059999916236848e-05,-0.0036133700051995676,0.08056680188864883,0.0,7.169999298639596e-05,-0.01703174603174603,0.16666666666666666,-0.0004732510288065844,3.2999960239976645e-06,0.0,0.08333333333333333,0.0,4.00003045797348e-07
2.0,-10.0,-2.0,-0.014827080000000001,0.1540736,0.001601040186435487,58.52925205230713,-0.013887040000000002,0.1489324,-0.0009264657839486851,0.8242945671081543,-0.016048209732250296,0.16172380247238785,-5.3601264412094315e-05,1.6265710999869043,-0.016055739270568692,0.16176393258198649,0.0,0.004667199988034554,-0.0026774419031537788,0.06748026261572597,0.0,9.120001050177962e-05,-0.0036133700051995676,0.08056680188864883,0.0,7.03999976394698e-05,-0.01703174603174603,0.16666666666666666,-6.760728982951208e-05,3.1999952625483274e-06,0.0,0.08333333333333333,0.0,3.00002284348011e-07
2.0,-10.0,-1.0,-0.01461112,0.1529772,0.001165876456925096,56.66216444969177,-0.01388764,0.1489812,-0.00010853333290717825,0.8747224807739258,-0.016103871016244886,0.16201958925800408,0.00020674788323527102,1.5560273000010056,-0.016055739270568692,0.16176393258198649,0.0,0.003716500010341406,-0.0026774419031537788,0.06748026261572597,0.0,6.999999459367245e-05,-0.0036133700051995676,0.08056680188864883,0.0,6.909998774062842e-05,-0.01703174603174603,0.16666666666666666,0.00033803644914756024,4.0000013541430235e-06,0.0,0.08333333333333333,0.0,3.00002284348011e-07
2.0,-10.0,0.0,-0.01444716,0.15212520000000002,0.0007415520785366454,61.0331916809082,-0.01406428,0.1498916,0.0007111332134574761,0.9417140483856201,-0.016216319571307536,0.16256570302057294,0.000465722722369201,1.97477240000444,-0.016055739270568692,0.16176393258198649,0.0,0.0035204000014346093,-0.0026774419031537788,0.06748026261572597,0.0,6.920000305399299e-05,-0.0036133700051995676,0.08056680188864883,0.0,6.939999002497643e-05,-0.01703174603174603,0.16666666666666666,0.0007436801881246326,2.9999937396496534e-06,0.0,0.08333333333333333,0.0,3.00002284348011e-07
2.0,-10.0,1.0,-0.01461112,0.1529772,0.001165876456925096,58.27096891403198,-0.01442936,0.1517088,0.0015581966613130791,0.9127306938171387,-0.016387341687853274,0.1633815502770246,0.0007366689422585289,1.5888182000053348,-0.016055739270568692,0.16176393258198649,0.0,0.003515999997034669,-0.0026774419031537788,0.06748026261572597,0.0,6.86999992467463e-05,-0.0036133700051995676,0.08056680188864883,0.0,6.900000153109431e-05,-0.01703174603174603,0.16666666666666666,0.0011493239271017047,3.200009814463556e-06,0.0,0.08333333333333333,0.0,4.00003045797348e-07
2.0,-10.0,2.0,-0.014827080000000001,0.1540736,0.001601040186435487,58.02205944061279,-0.01501096,0.1545292,0.002462788453333026,0.8545448780059814,-0.01662063329817176,0.16447577043312056,0.0010178090848816709,1.6719894999987446,-0.016055739270568692,0.16176393258198649,0.0,0.0047196000086842105,-0.0026774419031537788,0.06748026261572597,0.0,6.839999696239829e-05,-0.0036133700051995676,0.08056680188864883,0.0,6.92999892635271e-05,-0.01703174603174603,0.16666666666666666,0.0015549676660787772,3.9000005926936865e-06,0.0,0.08333333333333333,0.0,4.00003045797348e-07
2.0,-10.0,3.0,-0.01509928,0.15542920000000002,0.0020511703237262504,62.51581001281738,-0.01585736,0.15851320000000002,0.003464432019553153,0.8575444221496582,-0.016924598610191577,0.1658746622819472,0.0013213645558522017,1.6051880000013625,-0.016055739270568692,0.16176393258198649,0.0,0.004062100008013658,-0.0026774419031537788,0.06748026261572597,0.0,6.890000076964498e-05,-0.0036133700051995676,0.08056680188864883,0.0,6.840001151431352e-05,-0.01703174603174603,0.16666666666666666,0.0019606114050558492,3.0999945010989904e-06,0.0,0.08333333333333333,0.0,4.00003045797348e-07
3.0,-10.0,-3.0,-0.032179,0.226404,0.004058375288876495,64.73066639900208,-0.0284794,0.2129916,-0.002306523092313691,1.0275249481201172,-0.033646857105986805,0.23293578486284403,-0.00021779637671586854,1.5498770999984117,-0.03368463960580681,0.23308056649523176,0.0,0.003987599993706681,-0.005973696226427367,0.10069711567612417,0.0,7.750000804662704e-05,-0.008043306622128921,0.12005522536905489,0.0,6.940000457689166e-05,-0.03811309523809524,0.25,-0.0001703042328042328,3.1999952625483274e-06,0.0,0.125,0.0,3.00002284348011e-07
3.0,-10.0,-2.0,-0.03148152,0.22407400000000002,0.0032606483312517215,61.19334578514099,-0.028967120000000002,0.2148844,-0.0009762663565080299,1.1898925304412842,-0.03377701993461224,0.23341980103478982,0.00034509241343807416,14.352986099998816,-0.03368463960580681,0.23308056649523176,0.0,0.0045381000090856105,-0.005973696226427367,0.10069711567612417,0.0,7.149999146349728e-05,-0.008043306622128921,0.12005522536905489,0.0,6.829999620094895e-05,-0.03811309523809524,0.25,0.0005109126984126984,3.3999967854470015e-06,0.0,0.125,0.0,3.9998849388211966e-07
