fy,fx,m,x,y,phi,t
1,-4,-3,-0.401617,12.5822,0.0007470271133514091,53.130784034729004
1,-4,-2,-0.39767,12.5181,0.0005403235738504085,54.329625844955444
1,-4,-1,-0.394521,12.4653,0.00033423934414568174,40.75953531265259
1,-4,0,-0.392142,12.4235,0.00012855500387891935,39.336101770401
1,-4,1,-0.394521,12.4653,0.00033423934414568174,36.31167030334473
1,-4,2,-0.39767,12.5181,0.0005403235738504085,37.51985812187195
1,-4,3,-0.401617,12.5822,0.0007470271133514091,36.67367124557495
2,-4,-3,-1.53392,24.9467,0.0011529064340490263,40.564993143081665
2,-4,-2,-1.51862,24.8265,0.000876840747773182,39.5117974281311
2,-4,-1,-1.50654,24.7293,0.0006036789039035181,40.30783796310425
2,-4,0,-1.49753,24.6541,0.0003325167603579365,38.58768630027771
2,-4,1,-1.50654,24.7293,0.0006036789039035181,41.18447661399841
2,-4,2,-1.51862,24.8265,0.000876840747773182,41.90406346321106
2,-4,3,-1.53392,24.9467,0.0011529064340490263,38.90943956375122
3,-4,-3,-3.36851,36.9956,0.001841553433930865,40.15641784667969
3,-4,-2,-3.32703,36.7796,0.0014461336220967967,38.56454110145569
3,-4,-1,-3.29842,36.6281,0.001061164315119386,38.7150661945343
3,-4,0,-3.27619,36.5068,0.0006814859638106032,36.64765238761902
3,-4,1,-3.29842,36.6281,0.001061164315119386,51.982295989990234
3,-4,2,-3.32703,36.7796,0.0014461336220967967,45.797382831573486
3,-4,3,-3.36851,36.9956,0.001841553433930865,45.158785581588745
4,-4,-3,-5.82944,48.5751,0.002873936842194812,43.0369918346405
4,-4,-2,-5.75842,48.2992,0.002314196882310109,39.06571960449219
4,-4,-1,-5.7001,48.0682,0.0017701340355637041,37.97245693206787
4,-4,0,-5.65385,47.8805,0.0012380686760786505,38.32463026046753
4,-4,1,-5.7001,48.0682,0.0017701340355637041,37.83152770996094
4,-4,2,-5.75842,48.2992,0.002314196882310109,39.41337585449219
4,-4,3,-5.82944,48.5751,0.002873936842194812,37.35497283935547
5,-4,-3,-8.82428,59.579,0.00429887674404093,39.95295071601868
5,-4,-2,-8.7067,59.2131,0.003523860928645364,41.362107276916504
5,-4,-1,-8.60834,58.9012,0.0027762598874097526,46.965678691864014
5,-4,0,-8.52834,58.6418,0.002050005063780149,46.221301555633545
5,-4,1,-8.60834,58.9012,0.0027762598874097526,43.935423135757446
5,-4,2,-8.7067,59.2131,0.003523860928645364,37.64132618904114
5,-4,3,-8.82428,59.579,0.00429887674404093,40.76171875
6,-4,-3,-12.2822,70.0154,0.006174712429076081,43.75876975059509
6,-4,-2,-12.0957,69.5302,0.005125745026320824,41.97679877281189
6,-4,-1,-11.9092,69.033,0.004104493079598791,38.63632369041443
6,-4,0,-11.7878,68.7042,0.0031470924755175145,37.77148652076721
6,-4,1,-11.9092,69.033,0.004104493079598791,39.430123805999756
6,-4,2,-12.0957,69.5302,0.005125745026320824,39.375245094299316
6,-4,3,-12.2822,70.0154,0.006174712429076081,41.55633878707886
7,-4,-3,-16.086,79.7719,0.00851250538416277,40.533491134643555
7,-4,-2,-15.8185,79.1733,0.007138491703684123,40.051594972610474
7,-4,-1,-15.593,78.6592,0.005836670257543931,41.74560546875
7,-4,0,-15.4057,78.2231,0.004591571748660083,39.09915637969971
7,-4,1,-15.593,78.6592,0.005836670257543931,39.89517855644226
7,-4,2,-15.8185,79.1733,0.007138491703684123,40.52446532249451
7,-4,3,-16.086,79.7719,0.00851250538416277,45.95454668998718
8,-4,-3,-20.1683,88.8878,0.01134799599247676,43.49609375
8,-4,-2,-19.8024,88.1692,0.009589725435366379,41.1547954082489
8,-4,-1,-19.4927,87.5492,0.007937749282537938,46.17270302772522
8,-4,0,-19.2296,87.0111,0.006366949121780744,60.28863024711609
8,-4,1,-19.4927,87.5492,0.007937749282537938,40.91212463378906
8,-4,2,-19.8024,88.1692,0.009589725435366379,42.34736704826355
8,-4,3,-20.1683,88.8878,0.01134799599247676,42.03945469856262
9,-4,-3,-24.3696,97.217,0.014591223022638232,41.22666883468628
9,-4,-2,-23.9585,96.5008,0.01247342723089404,39.44958758354187
9,-4,-1,-23.5675,95.8033,0.010438558124098262,42.30141019821167
9,-4,0,-23.2272,95.1827,0.008506043409300754,41.85423755645752
9,-4,1,-23.5675,95.8033,0.010438558124098262,43.40420889854431
9,-4,2,-23.9585,96.5008,0.01247342723089404,41.134244203567505
9,-4,3,-24.3696,97.217,0.014591223022638232,40.89113974571228
10,-4,-3,-28.9038,105.279,0.018581555159949935,39.97343468666077
10,-4,-2,-28.2949,104.318,0.01587176488741497,41.729596853256226
10,-4,-1,-27.7741,103.478,0.01336148232070942,70.38775658607483
10,-4,0,-27.3337,102.753,0.01101196075426314,42.06178379058838
